geometry,CSAFP,CBSAFP,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
"{""type"":""Polygon"",""coordinates"":[[[-79.61207199999999,41.85005599999999],[-79.6108388547624,41.99898934609039],[-79.55138499999999,41.998666],[-79.53844499999999,41.99852699999999],[-79.51099171867849,41.9984138129004],[-79.47247199999999,41.998255],[-79.24977199999999,41.99880699999999],[-79.17856999999999,41.99945799999999],[-79.06126499999999,41.99925899999999],[-78.98306499999999,41.99894899999999],[-78.91885492392749,41.99812492741179],[-78.91857499999999,41.95293999999999],[-78.91715099999999,41.86177899999999],[-78.91577499999999,41.840896],[-78.921581,41.83091599999999],[-78.948689,41.83048],[-78.95605599999999,41.623863],[-78.95604199999999,41.62340199999999],[-79.493454,41.62471599999999],[-79.51206999999999,41.62455899999999],[-79.61287299999999,41.62385799999999],[-79.61207199999999,41.85005599999999]]]}",,"47620",310M400US47620,"47620","Warren, PA",M2,"2289908286","37358226"
"{""type"":""Polygon"",""coordinates"":[[[-86.955004,35.45147399999999],[-86.89550199999999,35.48107299999999],[-86.8806,35.49400299999999],[-86.87558899999999,35.52125099999999],[-86.87127999999999,35.50248599999999],[-86.84957299999999,35.52551499999999],[-86.83809999999999,35.55077599999999],[-86.84048899999999,35.56728599999999],[-86.82739399999999,35.58211],[-86.83984599999999,35.59152699999999],[-86.82479499999999,35.60093399999999],[-86.811864,35.69641199999999],[-86.79693499999999,35.691479],[-86.78201599999999,35.706595],[-86.75165099999999,35.69644699999999],[-86.746606,35.707889],[-86.686193,35.710051],[-86.68262799999999,35.70409699999999],[-86.63943599999998,35.6859],[-86.65220699999999,35.58717899999999],[-86.66377,35.581893],[-86.63520699999999,35.57741499999999],[-86.653193,35.57412],[-86.664164,35.491771],[-86.65789099999999,35.45599],[-86.658247,35.43528099999999],[-86.61821999999999,35.36679499999999],[-86.59947799999999,35.36495],[-86.60261299999999,35.327013],[-86.63739599999999,35.320976],[-86.69799799999999,35.29527699999999],[-86.73668999999999,35.260776],[-86.74689899999999,35.25287799999999],[-86.82830099999999,35.263677],[-86.8285,35.29337599999999],[-86.84538499999999,35.320889],[-86.859481,35.298966],[-86.886437,35.30644399999999],[-86.88800399999999,35.315176],[-86.90645099999999,35.31407499999999],[-86.90230299999998,35.33747599999999],[-86.920107,35.35217999999999],[-86.92753499999999,35.37514199999999],[-86.92570299999999,35.40247499999999],[-86.96080399999999,35.41702099999999],[-86.955004,35.45147399999999]]]}","400","30280",310M400US30280,"30280","Lewisburg, TN",M2,"972442320","1801922"
"{""type"":""Polygon"",""coordinates"":[[[-88.886673,44.24262199999999],[-88.76619999999999,44.24336599999999],[-88.73976999999999,44.24330299999999],[-88.645189,44.243597],[-88.55742399999999,44.24370899999999],[-88.52479099999999,44.244028],[-88.43909899999999,44.24428599999999],[-88.436532,44.24430799999999],[-88.40406999999999,44.24410199999999],[-88.40453699999999,44.19369899999999],[-88.40442899999999,44.127685],[-88.40459799999999,44.09834399999999],[-88.40410899999999,44.05128599999999],[-88.40350999999999,44.001286],[-88.40330899999999,43.979987],[-88.40418699999999,43.9382],[-88.40319499999999,43.89297699999999],[-88.76483899999999,43.89489899999999],[-88.88569699999999,43.895184],[-88.88619299999999,43.98323299999999],[-88.88598399999999,44.06902499999999],[-88.886673,44.24262199999999]]]}","118","36780",310M400US36780,"36780","Oshkosh-Neenah, WI",M1,"1125846130","372645352"
"{""type"":""Polygon"",""coordinates"":[[[-101.6234659999999,36.055405],[-101.085735,36.05527599999999],[-101.0860679999999,35.625267],[-101.622831,35.624057],[-101.6234659999999,36.055405]]]}","108","14420",310M400US14420,"14420","Borger, TX",M2,"2298408152","19507502"
"{""type"":""Polygon"",""coordinates"":[[[-82.054349,27.64638199999999],[-81.56353299999999,27.64664499999999],[-81.56406199999999,27.34064099999999],[-81.858829,27.34026199999999],[-82.05575299999999,27.33826399999999],[-82.054349,27.64638199999999]]]}",,"48100",310M400US48100,"48100","Wauchula, FL",M2,"1651329788","1439673"
"{""type"":""Polygon"",""coordinates"":[[[-85.29362599999998,42.071553],[-84.82649099999999,42.072468],[-84.82512990965739,41.75999072121359],[-84.82519599999999,41.75998999999999],[-84.932484,41.75969099999999],[-84.96085999999999,41.75943799999999],[-84.961562,41.75955199999999],[-84.97155099999999,41.75952699999999],[-84.97280299999999,41.759366],[-85.03781699999999,41.75980099999999],[-85.03943599999999,41.759985],[-85.11726699999999,41.7597],[-85.123102,41.759743],[-85.17222999999999,41.75961799999999],[-85.19663699999999,41.75973499999999],[-85.19677373742038,41.7597353928585],[-85.23283499999999,41.75983899999999],[-85.272216,41.759999],[-85.27295099999999,41.75991099999999],[-85.273713,41.75976999999999],[-85.29209899999999,41.759962],[-85.29217788135059,41.7599628308601],[-85.29362599999998,42.071553]]]}",,"17740",310M400US17740,"17740","Coldwater, MI",M2,"1311604220","34421385"
"{""type"":""Polygon"",""coordinates"":[[[-86.16901199999999,40.90983599999999],[-86.16845899999999,40.99609699999999],[-85.94643599999999,40.999195],[-85.93952499999998,40.65099099999999],[-85.86479099999999,40.651693],[-85.863641,40.565525],[-85.93878499999999,40.564799],[-86.01332499999999,40.56412799999999],[-86.12742399999999,40.56309799999999],[-86.165024,40.562649],[-86.16586599999999,40.64963699999999],[-86.16563399999999,40.74079199999999],[-86.168858,40.74351699999999],[-86.16901199999999,40.90983599999999]]]}","316","37940",310M400US37940,"37940","Peru, IN",M2,"968246949","9184624"
"{""type"":""Polygon"",""coordinates"":[[[-83.42105399999999,41.16677999999999],[-83.419843,41.25400299999999],[-83.32316,41.25488899999999],[-83.24951199999999,41.25301599999999],[-83.13160599999999,41.25639599999999],[-82.84008699999999,41.25533699999999],[-82.838538,41.216999],[-82.82951199999999,40.99662399999999],[-82.85318399999999,40.99366099999999],[-83.11273699999999,40.99344699999999],[-83.30500399999999,40.992787],[-83.42031899999999,40.991889],[-83.42115199999999,41.13025499999999],[-83.42105399999999,41.16677999999999]]]}","248","45660",310M400US45660,"45660","Tiffin, OH",M2,"1427151733","4576816"
"{""type"":""Polygon"",""coordinates"":[[[-85.07386099999999,40.91782299999999],[-84.8029360779022,40.9225675776629],[-84.80293499999999,40.92237699999999],[-84.80216999999999,40.800601],[-84.80253799999999,40.765515],[-84.802266,40.74229799999999],[-84.80211899999999,40.72816299999999],[-84.80211911064869,40.72814593690469],[-84.80218099999999,40.71860199999999],[-84.80209399999999,40.70247599999999],[-84.80212699999999,40.69140499999999],[-84.80215699999999,40.68932399999999],[-84.80221999999999,40.674776],[-84.802193,40.66029799999999],[-84.80213499999999,40.64485899999999],[-84.80226499999999,40.572215],[-85.06847899999999,40.56823999999999],[-85.070245,40.74062099999999],[-85.07102399999999,40.744886],[-85.07386099999999,40.91782299999999]]]}","258","19540",310M400US19540,"19540","Decatur, IN",M2,"878079470","2429954"
"{""type"":""Polygon"",""coordinates"":[[[-86.683255,38.730049],[-86.68285299999999,38.90469699999999],[-86.68227699999999,38.992404],[-86.573548,38.99214699999999],[-86.31747399999999,38.99087],[-86.280389,38.991028],[-86.279437,38.961106],[-86.27528099999999,38.763795],[-86.300128,38.72960099999999],[-86.31005799999999,38.733131],[-86.30870099999999,38.68810099999999],[-86.55339899999999,38.687441],[-86.68310199999999,38.68656099999999],[-86.683255,38.730049]]]}","144","13260",310M400US13260,"13260","Bedford, IN",M2,"1163367154","7122898"
