,geoid
462,060730077021
463,060730171081
465,060730004002
466,060730081014
467,060730170462
468,060730135053
469,060730073014
470,060730083124
471,060730083073
472,060730106011
473,060730170221
474,060730134112
475,060730009004
476,060730080023
477,060730200165
478,060730083503
479,060730177011
480,060730171092
481,060730173033
482,060730085092
483,060730201034
484,060730148043
485,060730020013
486,060730175012
487,060730176013
488,060730009005
489,060730207052
490,060730171103
491,060730083403
492,060730021002
493,060730118013
494,060730039011
495,060730200262
496,060730083111
497,060730083103
498,060730016004
499,060730040004
500,060730025011
501,060730022022
502,060730163023
503,060730132051
504,060730202131
505,060730202022
506,060730083631
507,060730204011
508,060730083132
509,060730061002
510,060730083012
511,060730080031
512,060730177023
513,060730170351
514,060730172004
515,060730074006
516,060730177022
517,060730083462
518,060730136041
519,060730085013
520,060730072001
521,060730045013
522,060730085031
523,060730174041
524,060730198032
525,060730154032
526,060730020011
527,060730083244
528,060730198042
529,060730085101
530,060730173032
531,060730097031
532,060730083271
533,060730009001
534,060730100123
535,060730176032
536,060730100093
537,060730134192
538,060730164023
539,060730207092
540,060730133071
541,060730023012
542,060730045011
543,060730035013
544,060730033031
545,060730100053
546,060730175023
547,060730125021
548,060730206011
549,060730127002
550,060730083451
551,060730180001
552,060730008003
553,060730176031
554,060730204012
555,060730020012
556,060730007003
557,060730065003
558,060730212043
559,060730081012
560,060730083102
561,060730175013
562,060730203062
563,060730103001
564,060730019002
565,060730173031
566,060730017002
567,060730018002
568,060730118012
569,060730024011
570,060730171042
571,060730170492
572,060730182003
573,060730035022
574,060730083131
575,060730178114
576,060730174032
577,060730081021
578,060730017004
579,060730170501
580,060730173061
581,060730152004
582,060730178082
583,060730213033
584,060730096043
585,060730174013
586,060730018001
587,060730198043
588,060730154042
589,060730083242
590,060730182004
591,060730129001
592,060730100091
593,060730176041
594,060730024012
595,060730101092
596,060730003001
597,060730076004
598,060730010002
599,060730047001
600,060730042003
601,060730134102
602,060730098011
603,060730095053
604,060730027121
605,060730105011
606,060730204031
607,060730201062
608,060730023023
609,060730111002
610,060730178131
611,060730173043
612,060730173042
613,060730083292
614,060730003005
615,060730207051
616,060730089012
617,060730173062
618,060730070021
619,060730178011
620,060730206021
621,060730170502
622,060730083592
623,060730091061
625,060730102004
626,060730029043
629,060730017003
630,060730168112
631,060730196021
632,060730133081
633,060730168072
634,060730191053
635,060730206022
640,060730111003
641,060730095042
642,060730170223
643,060730170192
644,060730097066
645,060730199053
646,060730198081
647,060730081011
648,060730170303
649,060730080033
650,060730044004
651,060730170222
652,060730005003
653,060730108002
654,060730136011
655,060730075012
656,060730097064
657,060730172002
658,060730044003
659,060730098051
660,060730011001
661,060730100054
662,060730170532
663,060730098014
664,060730185113
665,060730166131
666,060730083032
667,060730091033
668,060730021003
669,060730170473
670,060730170511
671,060730027082
672,060730132031
673,060730101074
674,060730081015
675,060730205001
676,060730083491
677,060730080062
678,060730170484
679,060730013004
680,060730198091
681,060730132034
682,060730012002
683,060730182005
684,060730124021
685,060730133091
686,060730171094
687,060730120031
688,060730086003
689,060730083311
690,060730171093
691,060730008002
692,060730183003
693,060730083633
694,060730054003
695,060730083433
696,060730089022
697,060730003002
698,060730170062
699,060730097061
700,060730083362
701,060730085121
702,060730132042
703,060730174045
704,060730078002
705,060730095073
706,060730019003
707,060730071001
708,060730098025
709,060730164022
710,060730085044
711,060730170541
712,060730006003
713,060730152001
714,060730170491
715,060730085051
716,060730171082
717,060730102005
718,060730142002
719,060730040002
720,060730200164
721,060730171101
722,060730202061
723,060730169011
724,060730166132
725,060730126001
726,060730039012
727,060730036032
728,060730179001
729,060730101061
730,060730100132
732,060730083062
733,060730004003
734,060730083033
735,060730028033
736,060730174033
737,060730043003
738,060730080032
739,060730018005
740,060730170523
741,060730181005
742,060730069002
743,060730083611
744,060730091032
745,060730192081
746,060730164011
747,060730176011
748,060730039024
749,060730131031
750,060730170322
751,060730132041
753,060730015004
754,060730029052
755,060730203074
756,060730024021
757,060730059002
758,060730096021
759,060730060001
760,060730102002
761,060730002022
762,060730015002
763,060730192054
764,060730001001
765,060730085132
766,060730091041
767,060730152003
768,060730091014
769,060730203081
770,060730197022
771,060730072002
772,060730083461
773,060730202143
774,060730200191
775,060730146021
776,060730139062
777,060730203073
778,060730105022
779,060730200212
780,060730175011
781,060730080063
782,060730069003
783,060730174031
784,060730083511
785,060730171064
786,060730031011
787,060730085021
788,060730013003
789,060730176043
790,060730053003
791,060730007001
792,060730170191
793,060730170061
794,060730085012
795,060730130004
796,060730207062
797,060730071002
798,060730100101
799,060730026021
800,060730202023
801,060730049003
802,060730083063
803,060730083512
804,060730152002
805,060730196012
806,060730074004
807,060730155011
808,060730204052
809,060730085022
810,060730085123
811,060730178113
812,060730201091
813,060730083291
814,060730154053
815,060730191051
816,060730075021
817,060730074003
818,060730091012
819,060730101031
820,060730168074
821,060730029042
822,060730091021
823,060730200232
824,060730168091
825,060730057001
826,060730096042
827,060730015001
828,060730169013
829,060730163011
830,060730010003
831,060730167023
832,060730202081
833,060730136052
835,060730177014
836,060730202142
837,060730093012
838,060730155022
840,060730168101
841,060730212051
842,060730170092
843,060730202102
844,060730012003
845,060730155021
847,060730070023
848,060730006001
849,060730014001
850,060730170391
851,060730083453
852,060730079033
853,060730097051
854,060730083011
855,060730083621
856,060730085042
857,060730180003
858,060730170202
859,060730083351
860,060730076006
861,060730150004
862,060730043001
863,060730090002
864,060730178081
865,060730170302
866,060730008001
867,060730002021
868,060730198093
869,060730133113
870,060730171091
871,060730075011
872,060730083112
873,060730170551
874,060730149011
875,060730149022
876,060730213042
877,060730146013
878,060730085054
879,060730047002
880,060730101062
881,060730197021
882,060730175022
883,060730083241
884,060730170562
885,060730132032
886,060730036021
